,name,PESO X IDADE / Peso Muito Baixo para a Idade,PESO X ALTURA / Magreza acentuada,CMI
140,pindoretama,0.97,18.0,222.22222222222223
141,piquet carneiro,0.14,0.14,0.0
142,pires ferreira,0.18,0.74,0.0
143,poranga,0.0,1.04,0.0
144,porteiras,0.54,2.07,0.0
145,potengi,0.49,1.71,0.0
146,potiretama,0.94,1.25,0.0
147,quiterianopolis,1.41,2.7,0.0
148,quixada,1.0,2.44,10.825439783491204
149,quixelo,0.69,2.53,0.0
150,quixeramobim,0.84,2.23,8.323424494649228
151,quixere,0.28,0.65,0.0
152,redencao,0.33,1.8,0.0
153,reriutaba,0.69,0.35,0.0
154,russas,0.31,1.35,2.8901734104046244
155,saboeiro,1.01,2.68,0.0
156,salitre,0.56,0.88,0.0
157,santana do acarau,1.04,1.96,0.0
158,santana do cariri,0.24,0.83,0.0
159,santa quiteria,2.71,1.87,0.0
160,sao benedito,0.88,3.05,0.0
161,sao goncalo do amarante,0.76,2.18,9.174311926605505
162,sao joao do jaguaribe,2.43,1.21,
163,sao luis do curu,0.39,2.33,500.0
164,senador pompeu,0.63,1.8,0.0
165,senador sa,1.53,3.29,0.0
166,sobral,0.69,1.02,18.344883815735834
167,solonopole,3.35,5.7,105.26315789473684
168,tabuleiro do norte,0.28,1.7,0.0
169,tamboril,1.03,3.25,0.0
170,tarrafas,0.44,1.33,0.0
171,taua,1.12,2.55,2.8735632183908044
172,tejucuoca,0.73,1.74,0.0
173,tiangua,1.12,7.08,5.72737686139748
174,trairi,0.88,2.25,0.0
175,tururu,0.61,1.94,0.0
176,ubajara,0.8,1.27,11.764705882352942
177,umari,0.32,0.95,0.0
178,umirim,1.08,2.79,0.0
179,uruburetama,0.48,1.64,100.0
180,uruoca,0.54,0.82,0.0
181,varjota,0.79,1.89,0.0
182,varzea alegre,0.59,1.54,0.0
183,vicosa do ceara,0.62,1.7,0.0
